competition;season;home_score;away_score;round;
6 nations;2007;18;19;J4;
6 nations;2007;23;20;J4;
6 nations;2007;26;18;J4;
6 nations;2007;24;51;J5;
6 nations;2007;46;19;J5;
6 nations;2007;27;18;J5;
6 nations;2008;16;11;J1;
6 nations;2008;19;26;J1;
6 nations;2008;6;27;J1;
6 nations;2008;30;15;J2;
6 nations;2008;26;21;J2;
6 nations;2008;19;23;J2;
6 nations;2008;47;8;J3;
6 nations;2008;34;13;J3;
6 nations;2008;13;24;J3;
6 nations;2008;12;16;J4;
6 nations;2008;15;9;J4;
6 nations;2008;25;13;J4;
6 nations;2008;23;20;J5;
6 nations;2008;33;10;J5;
6 nations;2008;29;12;J5;
6 nations;2009;36;11;J1;
6 nations;2009;30;21;J1;
6 nations;2009;13;26;J1;
6 nations;2009;22;13;J2;
6 nations;2009;23;15;J2;
6 nations;2009;9;38;J2;
6 nations;2009;21;16;J3;
6 nations;2009;26;6;J3;
6 nations;2009;14;13;J3;
6 nations;2009;15;20;J4;
6 nations;2009;15;22;J4;
6 nations;2009;34;10;J4;
6 nations;2009;8;50;J5;
6 nations;2009;26;12;J5;
6 nations;2009;15;17;J5;
6 nations;2010;29;11;J1;
6 nations;2010;30;17;J1;
6 nations;2010;9;18;J1;
6 nations;2010;31;24;J2;
6 nations;2010;33;10;J2;
6 nations;2010;12;17;J2;
6 nations;2010;20;26;J3;
6 nations;2010;16;12;J3;
6 nations;2010;16;20;J3;
6 nations;2010;27;12;J4;
6 nations;2010;15;15;J4;
6 nations;2010;46;20;J4;
6 nations;2010;33;10;J5;
6 nations;2010;20;23;J5;
6 nations;2010;12;10;J5;
6 nations;2011;19;26;J1;
6 nations;2011;11;13;J1;
6 nations;2011;34;21;J1;
6 nations;2011;59;13;J2;
6 nations;2011;6;24;J2;
6 nations;2011;22;25;J2;
6 nations;2011;16;24;J3;
6 nations;2011;17;9;J3;
6 nations;2011;18;21;J3;
6 nations;2011;22;21;J4;
6 nations;2011;19;13;J4;
6 nations;2011;22;16;J4;
6 nations;2011;21;8;J5;
6 nations;2011;24;8;J5;
6 nations;2011;28;9;J5;
6 nations;2012;30;12;J1;
6 nations;2012;6;13;J1;
6 nations;2012;21;23;J1;
6 nations;2012;15;19;J2;
6 nations;2012;27;13;J2;
6 nations;2012;42;10;J2;
6 nations;2012;12;19;J3;
6 nations;2012;17;23;J3;
6 nations;2012;17;17;J3;
6 nations;2012;24;3;J4;
6 nations;2012;32;14;J4;
6 nations;2012;22;24;J4;
6 nations;2012;13;6;J5;
6 nations;2012;16;9;J5;
6 nations;2012;30;9;J5;
6 nations;2013;22;30;J1;
6 nations;2013;38;18;J1;
6 nations;2013;23;18;J1;
6 nations;2013;34;10;J2;
6 nations;2013;6;16;J2;
6 nations;2013;6;12;J2;
6 nations;2013;9;26;J3;
6 nations;2013;23;13;J3;
6 nations;2013;12;8;J3;
6 nations;2013;18;28;J4;
6 nations;2013;13;13;J4;
6 nations;2013;18;11;J4;
6 nations;2013;22;15;J5;
6 nations;2013;30;3;J5;
6 nations;2013;23;16;J5;
6 nations;2014;23;15;J1;
6 nations;2014;26;24;J1;
6 nations;2014;28;6;J1;
6 nations;2014;26;3;J2;
6 nations;2014;0;20;J2;
6 nations;2014;30;10;J2;
6 nations;2014;27;6;J3;
6 nations;2014;20;21;J3;
6 nations;2014;13;10;J3;
6 nations;2014;46;7;J4;
6 nations;2014;17;19;J4;
6 nations;2014;29;18;J4;
6 nations;2014;11;52;J5;
6 nations;2014;51;3;J5;
6 nations;2014;20;22;J5;
6 nations;2015;16;21;J1;
6 nations;2015;3;26;J1;
6 nations;2015;15;8;J1;
6 nations;2015;47;17;J2;
6 nations;2015;18;11;J2;
6 nations;2015;23;26;J2;
6 nations;2015;19;22;J3;
6 nations;2015;13;20;J3;
6 nations;2015;19;9;J3;
6 nations;2015;23;16;J4;
6 nations;2015;25;13;J4;
6 nations;2015;0;29;J4;
6 nations;2015;20;61;J5;
6 nations;2015;10;40;J5;
6 nations;2015;55;35;J5;
6 nations;2016;23;21;J1;
6 nations;2016;9;15;J1;
6 nations;2016;16;16;J1;
6 nations;2016;10;9;J2;
6 nations;2016;27;23;J2;
6 nations;2016;9;40;J2;
6 nations;2016;19;10;J3;
6 nations;2016;20;36;J3;
6 nations;2016;21;10;J3;
6 nations;2016;58;15;J4;
6 nations;2016;25;21;J4;
6 nations;2016;29;18;J4;
6 nations;2016;67;14;J5;
6 nations;2016;35;25;J5;
6 nations;2016;21;31;J5;
6 nations;2017;27;22;J1;
6 nations;2017;19;16;J1;
6 nations;2017;7;33;J1;
6 nations;2017;10;63;J2;
6 nations;2017;16;21;J2;
6 nations;2017;22;16;J2;
6 nations;2017;29;13;J3;
6 nations;2017;19;9;J3;
6 nations;2017;36;15;J3;
6 nations;2017;22;9;J4;
6 nations;2017;18;40;J4;
6 nations;2017;61;21;J4;
6 nations;2017;29;0;J5;
6 nations;2017;20;18;J5;
6 nations;2017;13;9;J5;
6 nations;2018;34;7;J1;
6 nations;2018;13;15;J1;
6 nations;2018;15;46;J1;
6 nations;2018;56;19;J2;
6 nations;2018;12;6;J2;
6 nations;2018;32;26;J2;
6 nations;2018;34;17;J3;
6 nations;2018;37;27;J3;
6 nations;2018;25;13;J3;
6 nations;2018;28;8;J4;
6 nations;2018;22;16;J4;
6 nations;2018;38;14;J4;
6 nations;2018;27;29;J5;
6 nations;2018;15;24;J5;
6 nations;2018;14;13;J5;
6 nations;2019;19;24;J1;
6 nations;2019;33;20;J1;
6 nations;2019;20;32;J1;
6 nations;2019;13;22;J2;
6 nations;2019;15;26;J2;
6 nations;2019;44;8;J2;
6 nations;2019;27;10;J3;
6 nations;2019;21;13;J3;
6 nations;2019;16;26;J3;
6 nations;2019;11;18;J4;
6 nations;2019;57;14;J4;
6 nations;2019;26;14;J4;
6 nations;2019;14;25;J5;
6 nations;2019;25;7;J5;
6 nations;2019;38;38;J5;
6 nations;2020;42;0;J1;
6 nations;2020;19;12;J1;
6 nations;2020;24;17;J1;
6 nations;2020;24;14;J2;
6 nations;2020;6;13;J2;
6 nations;2020;35;22;J2;
6 nations;2020;0;17;J3;
6 nations;2020;23;27;J3;
6 nations;2020;24;12;J3;
6 nations;2020;33;30;J4;
6 nations;2020;28;17;J4;
6 nations;2020;50;17;J4;
6 nations;2020;10;14;J5;
6 nations;2020;5;34;J5;
6 nations;2020;35;27;J5;
6 nations;2021;10;50;J1;
6 nations;2021;6;11;J1;
6 nations;2021;21;16;J1;
6 nations;2021;41;18;J2;
6 nations;2021;24;25;J2;
6 nations;2021;13;15;J2;
6 nations;2021;10;48;J3;
6 nations;2021;40;24;J3;
6 nations;2021;7;48;J3;
6 nations;2021;23;20;J4;
6 nations;2021;24;27;J4;
6 nations;2021;52;10;J4;
6 nations;2021;32;18;J5;
6 nations;2021;32;30;J5;
6 nations;2021;23;27;J5;
6 nations;2022;29;7;J1;
6 nations;2022;20;17;J1;
6 nations;2022;37;10;J1;
6 nations;2022;20;17;J2;
6 nations;2022;30;24;J2;
6 nations;2022;0;33;J2;
6 nations;2022;17;36;J3;
6 nations;2022;23;19;J3;
6 nations;2022;57;6;J3;
6 nations;2022;9;13;J4;
6 nations;2022;22;33;J4;
6 nations;2022;15;32;J4;
6 nations;2022;21;22;J5;
6 nations;2022;26;5;J5;
6 nations;2022;25;13;J5;
6 nations;2023;10;34;J1;
6 nations;2023;23;29;J1;
6 nations;2023;24;29;J1;
6 nations;2023;32;19;J2;
6 nations;2023;35;7;J2;
6 nations;2023;31;14;J2;
6 nations;2023;20;34;J3;
6 nations;2023;10;20;J3;
6 nations;2023;32;21;J3;
6 nations;2023;17;29;J4;
6 nations;2023;10;53;J4;
6 nations;2023;7;22;J4;
6 nations;2023;26;14;J5;
6 nations;2023;41;28;J5;
6 nations;2023;29;16;J5;
6 nations;2024;17;38;J1;
6 nations;2024;24;27;J1;
6 nations;2024;26;27;J1;
6 nations;2024;16;20;J2;
6 nations;2024;16;14;J2;
6 nations;2024;36;0;J2;
6 nations;2024;31;7;J3;
6 nations;2024;30;21;J3;
6 nations;2024;13;13;J3;
6 nations;2024;31;29;J4;
6 nations;2024;23;22;J4;
6 nations;2024;24;45;J4;
6 nations;2024;21;24;J5;
6 nations;2024;17;13;J5;
6 nations;2024;33;31;J5;
6 nations;2025;43;0;J1;
6 nations;2025;31;19;J1;
6 nations;2025;27;22;J1;
6 nations;2025;22;15;J2;
6 nations;2025;26;25;J2;
6 nations;2025;18;32;J2;
6 nations;2025;18;27;J3;
6 nations;2025;16;15;J3;
6 nations;2025;24;73;J3;
6 nations;2025;27;42;J4;
6 nations;2025;35;29;J4;
6 nations;2025;47;24;J4;
6 nations;2025;17;22;J5;
6 nations;2025;14;68;J5;
6 nations;2025;35;16;J5;
